Year,Site,F10,F50,F90,F10L,F50L,F90L,F10U,F50U,F90U,First.male.flight,First.flight,Last.flight,Last_First,F90_F10,GrowthRate,N.aphids,N.flights,Synchrony,site.year,ppt.ONDJFM,ppt.AMJJAS,tmean.ONDJFM,tmean.AMJJAS,Prop.cropland,Edge.density,Prop.forestwetland,Longitude,Latitude
2010,Antigo,207.051835899205,222.675521373178,238.299206847152,197.38694778248,220.475721888072,233.659134015732,211.726721096666,224.892835814445,248.462207181714,NA,204,267,63,31.2473709479469,0.0351538628075769,28,6,0.14,Antigo_2010,-0.287747006665257,1.54669439388217,0.629753068001327,1.17726296175123,0.477241474147415,211.246084498434,0.408060597726439,-89.21,45.18
2011,Antigo,180.464352265071,233.486126290822,286.507900316573,124.688757218434,220.949360140608,262.563404704896,204.323111529518,246.081962899812,342.547540303003,273,189,294,105,106.043548051502,0.0103586291819297,21,11,0.04,Antigo_2011,-0.227172510662278,-0.10568006454225,-0.0342000585114919,-0.674202430586193,0.466057022368903,204.805561922225,0.422018243491016,-89.21,45.18
2012,Antigo,214.972012790172,241.791505053529,268.610997316886,183.715663267204,229.430057968489,249.696503103196,234.053167214825,254.096573996684,299.993811957024,NA,145,264,119,53.6389845267142,0.0204788700064696,13,7,0.08,Antigo_2012,-1.31415958774717,-0.851979310067624,1.48465998657324,0.59037054280195,0.487302896956362,205.512262204905,0.412736065273194,-89.21,45.18
2013,Antigo,193.228356474921,219.026733065891,244.825109656861,177.265741793491,215.548539280946,237.246660999136,200.841520553582,222.647587587513,260.700667492073,NA,193,263,70,51.5967531819391,0.0212894363241865,104,10,0.08,Antigo_2013,0.534224893216081,0.163946475138913,-0.0536003091068896,-1.30303736111691,0.478135313531353,207.815723126289,0.423450678401174,-89.21,45.18
2014,Antigo,232.176075452659,237.650002211372,243.123928970084,229.156850597728,236.965977046734,241.622154414954,233.661161478164,238.348404847217,246.071028377106,269,227,290,63,10.9478535174251,0.100336179110667,175,9,0.4,Antigo_2014,0.0872964644529876,1.14278923489692,-1.66511780108401,-1.68424878032496,0.486500733406674,191.084116433647,0.424264301430143,-89.21,45.18
2015,Antigo,210.292176665787,222.451283607946,234.610390550106,205.101188622329,221.122438162417,231.599656126092,213.336910954771,223.772267347422,240.124292002817,NA,198,275,77,24.3182138843186,0.0451704963459471,92,8,0.18,Antigo_2015,-0.784305924542444,0.103007474881591,-0.805608087577967,0.220726508580553,0.496481939860653,201.66170066468,0.430383663366337,-89.21,45.18
2016,Antigo,210.267052242874,234.541508783735,258.815965324597,183.082753753014,228.191224039524,246.909895266378,222.141109382768,241.237979899163,285.644242745389,NA,225,281,56,48.5489130817222,0.0226259605349468,21,8,0.09,Antigo_2016,2.86112633870316,0.745819504534246,1.19878847574489,0.4044662603802,0.502624220755409,207.788983115593,0.428080308030803,-89.21,45.18
2017,Antigo,238.385580878717,259.031134238041,279.676687597366,219.037734216896,254.765416488291,271.332480168686,246.765133993568,263.343260953377,299.380478001696,258,188,293,105,41.2911067186495,0.0266029631728295,38,8,0.1,Antigo_2017,0.49189787386546,0.8833157050168,0.931869923754442,-0.272094565067505,0.4994499449945,199.816639926656,0.429398148148149,-89.21,45.18
2018,Antigo,217.264293841978,217.396304693011,217.528315544044,217.247506386973,217.390689184767,217.514260442653,217.278252281542,217.401817071384,217.545380876666,NA,201,243,42,0.264021702065975,4.16051325634479,278,5,1,Antigo_2018,-0.730083809896017,-0.128611842387075,-0.245954962991406,0.0992656188651314,0.503689952328566,195.259378103751,0.429936743674367,-89.21,45.18
2005,Arlington,181.508921477517,198.866635480058,216.224349482599,162.575867375364,194.40812462823,208.005304592159,189.745755547986,203.293222811652,235.093816664275,NA,182,259,77,34.7154280050825,0.0316420062930185,602,11,0.12,Arlington_2005,0.168308532752852,-1.53542384993153,0.551291493731962,1.6966672886462,0.643244296240274,220.260575101877,0.019388772388188,-89.33,43.32
2006,Arlington,211.060449122536,218.988769886774,226.917090651012,208.252180615246,218.226891615119,225.209893182657,212.761764365959,219.760524923987,229.773848436208,NA,188,293,105,15.8566415284756,0.0692748076210865,129,12,0.27,Arlington_2006,-0.595033787815206,0.901646429948727,0.609130286282039,0.3993717485327,0.721261728888001,105.467301714058,0.0409263326013177,-89.33,43.32
2007,Arlington,207.627625224383,212.632344436175,217.637063647967,206.902885415467,212.39734612764,217.056042798251,208.207209022086,212.862991770787,218.336233320404,285,173,285,112,10.0094384235835,0.109742999049113,579,11,0.43,Arlington_2007,-0.638905611483105,-0.233003068165689,0.3692988052044,0.514913358979485,0.718905969255341,113.467187633688,0.0873228189259334,-89.33,43.32
